Gemeinde,Resultat,Ja,Nein,Ja %,Nein %
Solothurn,Angenommen,2770,2489,52.67,47.33
Kammersrohr,Abgelehnt,6,11,35.29,64.71
Stüsslingen,Abgelehnt,103,320,24.35,75.65
Trimbach,Abgelehnt,494,607,44.87,55.13
Winznau,Abgelehnt,196,408,32.45,67.55
Wisen,Abgelehnt,64,100,39.02,60.98
Bättwil,Abgelehnt,123,243,33.61,66.39
Büren,Abgelehnt,100,258,27.93,72.07
Dornach,Angenommen,957,952,50.13,49.87
Gempen,Abgelehnt,149,177,45.71,54.29
Hochwald,Abgelehnt,212,327,39.33,60.67
Hofstetten-Flüh,Abgelehnt,418,716,36.86,63.14
Langendorf,Abgelehnt,512,682,42.88,57.12
Metzerlen-Mariastein,Abgelehnt,110,301,26.76,73.24
Nuglar-St. Pantaleon,Abgelehnt,232,345,40.21,59.79
Rodersdorf,Angenommen,351,256,57.83,42.17
Seewen,Abgelehnt,111,288,27.82,72.18
Witterswil,Abgelehnt,166,299,35.7,64.3
Bärschwil,Abgelehnt,92,179,33.95,66.05
Beinwil,Abgelehnt,14,96,12.73,87.27
Breitenbach,Abgelehnt,346,677,33.82,66.18
Büsserach,Abgelehnt,227,466,32.76,67.24
Erschwil,Abgelehnt,95,209,31.25,68.75
Lommiswil,Abgelehnt,172,441,28.06,71.94
Fehren,Abgelehnt,63,142,30.73,69.27
Grindel,Abgelehnt,72,89,44.72,55.28
Himmelried,Abgelehnt,130,205,38.81,61.19
Kleinlützel,Abgelehnt,156,277,36.03,63.97
Meltingen,Abgelehnt,68,174,28.1,71.9
Nunningen,Abgelehnt,187,452,29.26,70.74
Zullwil,Abgelehnt,39,146,21.08,78.92
Oberdorf,Abgelehnt,288,409,41.32,58.68
Riedholz,Abgelehnt,262,521,33.46,66.54
Rüttenen,Abgelehnt,244,322,43.11,56.89
Selzach,Abgelehnt,264,680,27.97,72.03
Balm b. Günsberg,Abgelehnt,25,63,28.41,71.59
Biezwil,Abgelehnt,31,116,21.09,78.91
Welschenrohr-Gänsbrunnen,Abgelehnt,89,325,21.5,78.5
Buchegg,Abgelehnt,351,862,28.94,71.06
Lostorf,Abgelehnt,414,1005,29.18,70.82
Halten,Abgelehnt,101,222,31.27,68.73
Lüsslingen-Nennigkofen,Abgelehnt,192,266,41.92,58.08
Bellach,Abgelehnt,420,889,32.09,67.91
Lüterkofen-Ichertswil,Abgelehnt,103,217,32.19,67.81
Messen,Abgelehnt,143,428,25.04,74.96
Schnottwil,Abgelehnt,92,347,20.96,79.04
Unterramsern,Abgelehnt,17,83,17.0,83.0
Aeschi,Abgelehnt,162,355,31.33,68.67
Bettlach,Abgelehnt,362,942,27.76,72.24
Biberist,Abgelehnt,951,1463,39.4,60.6
Bolken,Abgelehnt,64,182,26.02,73.98
Deitingen,Abgelehnt,201,595,25.25,74.75
Derendingen,Abgelehnt,504,876,36.52,63.48
Drei Höfe,Abgelehnt,81,220,26.91,73.09
Etziken,Abgelehnt,70,255,21.54,78.46
Gerlafingen,Abgelehnt,328,571,36.48,63.52
Horriwil,Abgelehnt,100,250,28.57,71.43
Feldbrunnen,Abgelehnt,136,283,32.46,67.54
Hüniken,Abgelehnt,27,57,32.14,67.86
Kriegstetten,Abgelehnt,105,329,24.19,75.81
Lohn-Ammannsegg,Abgelehnt,332,775,29.99,70.01
Luterbach,Abgelehnt,324,712,31.27,68.73
Obergerlafingen,Abgelehnt,91,290,23.88,76.12
Oekingen,Abgelehnt,95,208,31.35,68.65
Recherswil,Abgelehnt,187,492,27.54,72.46
Subingen,Abgelehnt,263,703,27.23,72.77
Zuchwil,Abgelehnt,653,935,41.12,58.88
Flumenthal,Abgelehnt,94,224,29.56,70.44
Aedermannsdorf,Abgelehnt,66,205,24.35,75.65
Balsthal,Abgelehnt,437,1003,30.35,69.65
Herbetswil,Abgelehnt,37,142,20.67,79.33
Holderbank,Abgelehnt,55,169,24.55,75.45
Laupersdorf,Abgelehnt,135,509,20.96,79.04
Matzendorf,Abgelehnt,92,396,18.85,81.15
Mümliswil-Ramiswil,Abgelehnt,144,734,16.4,83.6
Egerkingen,Abgelehnt,199,650,23.44,76.56
Grenchen,Abgelehnt,1119,2116,34.59,65.41
Härkingen,Abgelehnt,115,403,22.2,77.8
Kestenholz,Abgelehnt,165,464,26.23,73.77
Neuendorf,Abgelehnt,155,524,22.83,77.17
Niederbuchsiten,Abgelehnt,63,329,16.07,83.93
Oberbuchsiten,Abgelehnt,135,401,25.19,74.81
Oensingen,Abgelehnt,336,906,27.05,72.95
Wolfwil,Abgelehnt,164,583,21.95,78.05
Boningen,Abgelehnt,63,179,26.03,73.97
Däniken,Abgelehnt,226,584,27.9,72.1
Dulliken,Abgelehnt,307,613,33.37,66.63
Günsberg,Abgelehnt,164,292,35.96,64.04
Eppenberg-Wöschnau,Abgelehnt,18,52,25.71,74.29
Fulenbach,Abgelehnt,126,386,24.61,75.39
Gretzenbach,Abgelehnt,212,543,28.08,71.92
Gunzgen,Abgelehnt,129,368,25.96,74.04
Hägendorf,Abgelehnt,417,890,31.91,68.09
Kappel,Abgelehnt,264,600,30.56,69.44
Olten,Angenommen,2602,2396,52.06,47.94
Rickenbach,Abgelehnt,96,221,30.28,69.72
Schönenwerd,Abgelehnt,340,561,37.74,62.26
Starrkirch-Wil,Abgelehnt,245,378,39.33,60.67
Hubersdorf,Abgelehnt,88,172,33.85,66.15
Walterswil,Abgelehnt,54,154,25.96,74.04
Wangen,Abgelehnt,458,873,34.41,65.59
Erlinsbach,Abgelehnt,339,712,32.25,67.75
Hauenstein-Ifenthal,Abgelehnt,61,85,41.78,58.22
Kienberg,Abgelehnt,49,133,26.92,73.08
Niedergösgen,Abgelehnt,260,673,27.87,72.13
Obergösgen,Abgelehnt,190,404,31.99,68.01
