Rang;Titel;Studio;Female-lead;POC-lead;Budget (Millionen USD);Total Bruttoeinnahmen (Millionen USD);Verdienst in den USA (Millionen USD);Verdienst ausserhalb der USA;Jahr;;;;;;;;;;;;;;;;;;;
1;Avengers: Endgame;Disney;FALSE;FALSE;400;2,797.8;858.4;1,939.4;2019;;;;;;;;;;;;;;;;;;;
2;Avatar;Fox;FALSE;FALSE;237;2,790.4;760.5;2,029.9;2009;;;;;;;;;;;;;;;;;;;
3;Titanic;Paramount;FALSE;FALSE;200;2,187.6;659.4;1,528.2;1997;;;;;;;;;;;;;;;;;;;
4;Star Wars: The Force Awakens;Disney;TRUE;FALSE;306;2,068.2;936.7;1,131.5;2015;;;;;;;;;;;;;;;;;;;
5;Avengers: Infinity War;Disney;FALSE;FALSE;300;2,048.4;678.8;1,369.6;2018;;;;;;;;;;;;;;;;;;;
6;Jurassic World;Universal;FALSE;FALSE;215;1,670.4;652.3;1,018.1;2015;;;;;;;;;;;;;;;;;;;
7;The Lion King (2019);Disney;FALSE;TRUE;260;1,656.9;543.6;1,113.3;2019;;;;;;;;;;;;;;;;;;;
8;The Avengers;Disney;FALSE;FALSE;225;1,518.8;623.4;895.4;2012;;;;;;;;;;;;;;;;;;;
9;Furious 7;Universal;FALSE;FALSE;190;1,515.0;353;1,162.0;2015;;;;;;;;;;;;;;;;;;;
10;Frozen II;Disney;TRUE;FALSE;150;1,450.0;477.4;972.6;2019;;;;;;;;;;;;;;;;;;;
11;Avengers: Age of Ultron;Disney;FALSE;FALSE;365;1,402.8;459;943.8;2015;;;;;;;;;;;;;;;;;;;
12;Harry Potter and the Deathly Hallows Part 2;WB;FALSE;FALSE;125;1,356.6;381;975.6;2011;;;;;;;;;;;;;;;;;;;
13;Black Panther;Disney;FALSE;TRUE;200;1,346.9;700.1;646.8;2018;;;;;;;;;;;;;;;;;;;
14;Star Wars: The Last Jedi;Disney;TRUE;FALSE;200;1,332.5;620.2;712.3;2017;;;;;;;;;;;;;;;;;;;
15;Jurassic World: Fallen Kingdom;Universal;FALSE;FALSE;170;1,308.5;416.8;891.7;2018;;;;;;;;;;;;;;;;;;;
16;Frozen;Disney;TRUE;FALSE;150;1,280.8;400.7;880.1;2013;;;;;;;;;;;;;;;;;;;
17;Beauty and the Beast (2017);Disney;TRUE;FALSE;160;1,263.5;504;759.5;2017;;;;;;;;;;;;;;;;;;;
18;Incredibles 2;Disney;FALSE;FALSE;200;1,242.8;608.6;634.2;2018;;;;;;;;;;;;;;;;;;;
19;The Fate of the Furious;Universal;FALSE;FALSE;250;1,236.0;226;1,010.0;2017;;;;;;;;;;;;;;;;;;;
20;Iron Man 3;Disney;FALSE;FALSE;200;1,214.8;409;805.8;2013;;;;;;;;;;;;;;;;;;;
21;Minions;Universal;FALSE;FALSE;74;1,159.4;336;823.4;2015;;;;;;;;;;;;;;;;;;;
22;Captain America: Civil War;Disney;FALSE;FALSE;250;1,153.3;408.1;745.2;2016;;;;;;;;;;;;;;;;;;;
23;Aquaman;WB;FALSE;TRUE;160;1,148.5;335.1;813.4;2018;;;;;;;;;;;;;;;;;;;
24;The Lord of the Rings: The Return of the King;New Line;FALSE;FALSE;94;1,142.0;377.8;764.2;2003;;;;;;;;;;;;;;;;;;;
25;Spider-Man: Far From Home;Sony;FALSE;FALSE;160;1,131.9;390.5;741.4;2019;;;;;;;;;;;;;;;;;;;
26;Captain Marvel;Disney;TRUE;FALSE;175;1,128.3;426.8;701.5;2019;;;;;;;;;;;;;;;;;;;
27;Transformers: Dark of the Moon;Paramount;FALSE;FALSE;195;1,123.8;352.4;771.4;2011;;;;;;;;;;;;;;;;;;;
28;Skyfall;Sony;FALSE;FALSE;200;1,108.6;304.4;804.2;2012;;;;;;;;;;;;;;;;;;;
29;Transformers: Age of Extinction;Paramount;FALSE;FALSE;210;1,104.1;245.4;858.7;2014;;;;;;;;;;;;;;;;;;;
30;The Dark Knight Rises;WB;FALSE;FALSE;230;1,081.0;448.1;632.9;2012;;;;;;;;;;;;;;;;;;;
31;Joker;WB;FALSE;FALSE;55;1,074.3;335.5;738.8;2019;;;;;;;;;;;;;;;;;;;
32;Star Wars: The Rise of Skywalker;Disney;TRUE;FALSE;275;1,074.1;515.2;558.9;2019;;;;;;;;;;;;;;;;;;;
33;Toy Story 4;Disney;FALSE;FALSE;200;1,073.4;434;639.4;2019;;;;;;;;;;;;;;;;;;;
34;Toy Story 3;Disney;FALSE;FALSE;200;1,067.0;415;652;2010;;;;;;;;;;;;;;;;;;;
35;Pirates of the Caribbean: Dead Man's Chest;Disney;FALSE;FALSE;225;1,066.2;423.3;642.9;2006;;;;;;;;;;;;;;;;;;;
36;Rogue One: A Star Wars Story;Disney;TRUE;FALSE;200;1,056.1;532.2;523.9;2016;;;;;;;;;;;;;;;;;;;
37;Aladdin;Disney;FALSE;TRUE;182;1,050.7;355.6;695.1;2019;;;;;;;;;;;;;;;;;;;
38;Pirates of the Caribbean: On Stranger Tides;Disney;FALSE;FALSE;379;1,045.7;241.1;804.6;2011;;;;;;;;;;;;;;;;;;;
39;Despicable Me 3;Universal;FALSE;FALSE;75;1,034.8;264.6;770.2;2017;;;;;;;;;;;;;;;;;;;
40;Jurassic Park;Universal;FALSE;FALSE;63;1,032.0;402.5;629.5;1993;;;;;;;;;;;;;;;;;;;
41;Finding Dory;Disney;TRUE;FALSE;200;1,028.6;486.3;542.3;2016;;;;;;;;;;;;;;;;;;;
42;Star Wars: The Phantom Menace;Fox;FALSE;FALSE;115;1,027.1;474.5;552.6;1999;;;;;;;;;;;;;;;;;;;
43;Alice in Wonderland (2010);Disney;TRUE;FALSE;200;1,025.5;334.2;691.3;2010;;;;;;;;;;;;;;;;;;;
44;Zootopia;Disney;TRUE;FALSE;150;1,023.8;341.3;682.5;2016;;;;;;;;;;;;;;;;;;;
45;The Hobbit: An Unexpected Journey;New Line;FALSE;FALSE;200;1,017.0;303;714;2012;;;;;;;;;;;;;;;;;;;
46;The Dark Knight;WB;FALSE;FALSE;185;1,008.8;534.9;473.9;2008;;;;;;;;;;;;;;;;;;;
47;Harry Potter and the Sorcerer's Stone;WB;FALSE;FALSE;125;983.1;317.6;665.5;2001;;;;;;;;;;;;;;;;;;;
48;Harry Potter and the Deathly Hallows Part 1;WB;FALSE;FALSE;125;976.9;296;680.9;2010;;;;;;;;;;;;;;;;;;;
49;Despicable Me 2;Universal;FALSE;FALSE;76;970.8;368.1;602.7;2013;;;;;;;;;;;;;;;;;;;
50;The Lion King (1994);Disney;FALSE;FALSE;79.3;968.5;422.8;545.7;1994;;;;;;;;;;;;;;;;;;;
51;The Jungle Book (2016);Disney;FALSE;TRUE;175;966.6;364;602.6;2016;;;;;;;;;;;;;;;;;;;
52;Finding Nemo;Disney;FALSE;FALSE;94;962.9;380.8;582.1;2003;;;;;;;;;;;;;;;;;;;
53;Jumanji: Welcome to the Jungle;Sony;FALSE;TRUE;90;962.1;404.5;557.6;2017;;;;;;;;;;;;;;;;;;;
54;Pirates of the Caribbean: At World's End;Disney;FALSE;FALSE;300;961;309.4;651.6;2007;;;;;;;;;;;;;;;;;;;
55;The Hobbit: The Desolation of Smaug;New Line;FALSE;FALSE;250;958.4;258.4;700;2013;;;;;;;;;;;;;;;;;;;
56;The Hobbit: The Battle of the Five Armies;New Line;FALSE;FALSE;250;956;255.1;700.9;2014;;;;;;;;;;;;;;;;;;;
57;The Lord of the Rings: The Two Towers;New Line;FALSE;FALSE;94;951.2;342.6;608.6;2002;;;;;;;;;;;;;;;;;;;
58;Harry Potter and the Order of the Phoenix;WB;FALSE;FALSE;150;942;292;650;2007;;;;;;;;;;;;;;;;;;;
59;Harry Potter and the Half-Blood Prince;WB;FALSE;FALSE;250;934.3;302;632.3;2009;;;;;;;;;;;;;;;;;;;
60;Shrek 2;DreamWorks;FALSE;FALSE;70;928.8;441.2;487.6;2004;;;;;;;;;;;;;;;;;;;
61;Bohemian Rhapsody;Fox;FALSE;FALSE;55;903.7;216.4;687.3;2018;;;;;;;;;;;;;;;;;;;
62;Harry Potter and the Goblet of Fire;WB;FALSE;FALSE;150;896.3;290;606.3;2005;;;;;;;;;;;;;;;;;;;
63;Spider-Man 3;Sony;FALSE;FALSE;258;895;336.5;558.5;2007;;;;;;;;;;;;;;;;;;;
64;The Lord of the Rings: The Fellowship of the Ring;New Line;FALSE;FALSE;109;887.8;315.5;572.3;2001;;;;;;;;;;;;;;;;;;;
65;Ice Age: Dawn of the Dinosaurs;Fox;FALSE;FALSE;90;886.7;196.6;690.1;2009;;;;;;;;;;;;;;;;;;;
66;Spectre;Sony;FALSE;FALSE;300;880.7;200.1;680.6;2015;;;;;;;;;;;;;;;;;;;
67;Spider-Man: Homecoming;Sony;FALSE;FALSE;175;880.2;334.2;546;2017;;;;;;;;;;;;;;;;;;;
68;Harry Potter and the Chamber of Secrets;WB;FALSE;FALSE;100;879;262;617;2002;;;;;;;;;;;;;;;;;;;
69;Ice Age: Continental Drift;Fox;FALSE;FALSE;95;877.2;161.3;715.9;2012;;;;;;;;;;;;;;;;;;;
70;The Secret Life of Pets;Universal;FALSE;FALSE;75;875.5;368.4;507.1;2016;;;;;;;;;;;;;;;;;;;
71;Batman v Superman: Dawn of Justice;WB;FALSE;FALSE;263;873.6;330.4;543.2;2016;;;;;;;;;;;;;;;;;;;
72;Zhan Lang 2;China Film Group;FALSE;TRUE;30;870.3;2.7;867.6;2017;;;;;;;;;;;;;;;;;;;
73;Star Wars: Episode III - Revenge of the Sith;Fox;FALSE;FALSE;115;868.4;380.3;488.1;2005;;;;;;;;;;;;;;;;;;;
74;The Hunger Games: Catching Fire;Lionsgate;TRUE;FALSE;130;865;424.7;440.3;2013;;;;;;;;;;;;;;;;;;;
75;Guardians of the Galaxy Vol. 2;Disney;FALSE;FALSE;200;863.8;389.8;474;2017;;;;;;;;;;;;;;;;;;;
76;Inside Out;Disney;TRUE;FALSE;175;857.6;356.5;501.1;2015;;;;;;;;;;;;;;;;;;;
77;Venom (2018);Sony;FALSE;FALSE;116;856.1;212.4;643.7;2018;;;;;;;;;;;;;;;;;;;
78;Thor: Ragnarok;Disney;FALSE;FALSE;180;854;315.1;538.9;2017;;;;;;;;;;;;;;;;;;;
79;Transformers: Revenge of the Fallen;DreamWorks;FALSE;FALSE;210;836.3;402.1;434.2;2009;;;;;;;;;;;;;;;;;;;
80;Inception;WB;FALSE;FALSE;160;829.9;292.6;537.3;2010;;;;;;;;;;;;;;;;;;;
81;The Twilight Saga: Breaking Dawn Part 2;Summit;TRUE;FALSE;136.2;829.7;292.3;537.4;2012;;;;;;;;;;;;;;;;;;;
82;Spider-Man;Sony;FALSE;FALSE;139;825;403.7;421.3;2002;;;;;;;;;;;;;;;;;;;
83;Wonder Woman;WB;TRUE;FALSE;150;821.8;412.6;409.2;2017;;;;;;;;;;;;;;;;;;;
84;Independence Day;Fox;FALSE;TRUE;75;817.4;306.2;511.2;1996;;;;;;;;;;;;;;;;;;;
85;Fantastic Beasts and Where To Find Them;WB;FALSE;FALSE;180;814;234;580;2016;;;;;;;;;;;;;;;;;;;
86;Shrek the Third;Paramount;FALSE;FALSE;160;813.4;322.7;490.7;2007;;;;;;;;;;;;;;;;;;;
87;Coco;Disney;FALSE;TRUE;175;807.1;209.7;597.4;2017;;;;;;;;;;;;;;;;;;;
88;Harry Potter and the Prisoner of Azkaban;WB;FALSE;FALSE;130;800;249.5;550.5;2004;;;;;;;;;;;;;;;;;;;
89;Jumanji: The Next Level;Sony;FALSE;TRUE;125;796.6;316.8;479.8;2019;;;;;;;;;;;;;;;;;;;
90;Pirates of the Caribbean: Dead Men Tell No Tales;Disney;FALSE;FALSE;230;794.9;172.6;622.3;2017;;;;;;;;;;;;;;;;;;;
91;E.T.: The Extra-Terrestrial;Universal;FALSE;FALSE;10.5;793.5;435.1;358.4;1982;;;;;;;;;;;;;;;;;;;
92;2012;Sony;FALSE;FALSE;200;791.2;166.1;625.1;2009;;;;;;;;;;;;;;;;;;;
93;Mission: Impossible - Fallout;Paramount;FALSE;FALSE;178;791.1;220.2;570.9;2018;;;;;;;;;;;;;;;;;;;
94;Indiana Jones and the Kingdom of the Crystal Skull;Paramount;FALSE;FALSE;185;790.7;317.1;473.6;2008;;;;;;;;;;;;;;;;;;;
95;Spider-Man 2;Sony;FALSE;FALSE;200;789;373.6;415.4;2004;;;;;;;;;;;;;;;;;;;
96;Fast & Furious 6;Universal;FALSE;FALSE;160;788.7;238.7;550;2013;;;;;;;;;;;;;;;;;;;
97;Deadpool 2;Fox;FALSE;FALSE;110;785.8;324.6;461.2;2018;;;;;;;;;;;;;;;;;;;
98;Deadpool;Fox;FALSE;FALSE;58;782.6;363.1;419.5;2016;;;;;;;;;;;;;;;;;;;
99;Star Wars: A New Hope;Fox;FALSE;FALSE;11;775.5;461;314.5;1977;;;;;;;;;;;;;;;;;;;
100;Guardians of the Galaxy;Disney;FALSE;FALSE;170;772.8;333.2;439.6;2014;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
