Land;Lebenserwartung in Jahren;BIP in USD;Bevölkerung;Kontinent;hat Krankenversicherung für alle
Afghanistan;52.1;69550000000;34940837;Asien;FALSE
Albania;78.6;35970000000;3057220;Europa;FALSE
Algeria;77.2;6.329E+11;41657488;Afrika;TRUE
Angola;60.6;1.903E+11;30355880;Afrika;FALSE
Antigua And Barbuda;76.9;2393000000;95882;Nordamerika;FALSE
Argentina;77.5;9.202E+11;44694198;Südamerika;TRUE
Armenia;75.1;28280000000;3038217;Europa;FALSE
Australia;82.4;1.246E+12;23470145;Ozeanien;TRUE
Austria;81.7;4.396E+11;8793370;Europa;TRUE
Azerbaijan;73;1.718E+11;10046516;Asien;FALSE
Bahamas, The;72.9;11600000000;332634;Nordamerika;TRUE
Bahrain;79.1;70440000000;1442659;Asien;FALSE
Bangladesh;73.7;6.871E+11;159453001;Asien;FALSE
Barbados;75.7;5244000000;293131;Nordamerika;FALSE
Belarus;73.2;1.789E+11;9527543;Europa;FALSE
Belgium;81.2;5.285E+11;11570762;Europa;TRUE
Belize;74.7;3211000000;385854;Nordamerika;FALSE
Benin;62.7;25330000000;11340504;Afrika;FALSE
Bhutan;71.1;7030000000;766397;Asien;TRUE
Bolivia;69.8;83550000000;11306341;Südamerika;FALSE
Bosnia And Herzegovina;77.1;44620000000;3849891;Europa;FALSE
Botswana;63.8;38860000000;2249104;Afrika;TRUE
Brazil;74.3;3.24E+12;208846892;Südamerika;TRUE
British Virgin Islands;78.9;500000000;35802;Nordamerika;FALSE
Brunei;77.5;33540000000;450565;Asien;FALSE
Bulgaria;74.8;1.531E+11;7057504;Europa;FALSE
Burkina Faso;61.8;35780000000;19742715;Afrika;TRUE
Burundi;61.4;7990000000;11844520;Afrika;FALSE
Cabo Verde;72.7;3735000000;568373;Afrika;FALSE
Cambodia;65.2;64250000000;16449519;Asien;FALSE
Cameroon;59.4;88860000000;25640965;Afrika;FALSE
Canada;82;1.769E+12;35881659;Nordamerika;TRUE
Central Afrikan Republic;53.3;3373000000;5745062;Afrika;FALSE
Chad;57.5;28560000000;15833116;Afrika;FALSE
Chile;79.1;4.511E+11;17925262;Südamerika;TRUE
China;75.8;2.316E+13;1384688986;Asien;TRUE
Colombia;76.2;7.14E+11;48168996;Südamerika;TRUE
Comoros;64.9;1313000000;821164;Afrika;FALSE
Congo, Democratic Republic Of The;60.3;68450000000;85281024;Afrika;FALSE
Congo, Republic Of The;60.3;28880000000;5062021;Afrika;FALSE
Costa Rica;78.9;83850000000;4987142;Nordamerika;TRUE
Côte d'Ivoire;60.1;96920000000;26260582;Afrika;FALSE
Croatia;76.3;1.013E+11;4270480;Europa;TRUE
Cuba;78.9;1.37E+11;11116396;Nordamerika;TRUE
Cyprus;79;31590000000;1237088;Europa;FALSE
Czechia;78.9;3.757E+11;10686269;Europa;TRUE
Denmark;81;2.868E+11;5809502;Europa;TRUE
Djibouti;64;3632000000;884017;Afrika;FALSE
Dominica;77.4;785000000;74027;Nordamerika;FALSE
Dominican Republic;71.3;1.724E+11;10298756;Nordamerika;FALSE
Ecuador;77.1;1.926E+11;16498502;Südamerika;FALSE
Egypt;73.2;1.201E+12;99413317;Afrika;TRUE
El Salvador;75.1;56990000000;6187271;Nordamerika;FALSE
Equatorial Guinea;65;30350000000;797457;Afrika;FALSE
Eritrea;65.6;9382000000;5970646;Afrika;FALSE
Estonia;77;41560000000;1244288;Europa;FALSE
Eswatini;57.2;11340000000;1087200;Afrika;FALSE
Ethiopia;63;2.002E+11;108386391;Afrika;FALSE
Fiji;73.2;8652000000;926276;Ozeanien;TRUE
Finland;81.1;2.44E+11;5537364;Europa;TRUE
France;82;2.836E+12;67364357;Europa;TRUE
Gabon;68;36730000000;2119036;Afrika;FALSE
Gambia, The;65.4;3602000000;2092731;Afrika;FALSE
Georgia;76.6;39700000000;4926087;Europa;TRUE
Germany;80.9;4.171E+12;80457737;Europa;TRUE
Ghana;67.4;1.337E+11;28102471;Afrika;TRUE
Greece;80.8;2.987E+11;10761523;Europa;TRUE
Grenada;74.8;1606000000;112207;Nordamerika;FALSE
Guatemala;71.8;1.378E+11;16581273;Nordamerika;FALSE
Guinea;62.1;26470000000;11855411;Afrika;FALSE
Guinea-Bissau;61.4;3137000000;1833247;Afrika;FALSE
Guyana;68.9;6287000000;740685;Südamerika;FALSE
Haiti;64.6;19930000000;10788440;Nordamerika;FALSE
Honduras;71.3;46200000000;9182766;Nordamerika;FALSE
Hong Kong;83.1;4.549E+11;7213338;Asien;TRUE
Hungary;76.3;2.89E+11;9825704;Europa;FALSE
Iceland;83.1;17620000000;343518;Europa;TRUE
India;69.1;9.459E+12;1296834042;Asien;TRUE
Indonesia;73.2;3.243E+12;262787403;Asien;FALSE
Iran;74.2;1.645E+12;83024745;Asien;FALSE
Iraq;74.9;6.588E+11;40194216;Asien;FALSE
Ireland;81;3.572E+11;5068050;Europa;TRUE
Israel;82.7;3.165E+11;8424904;Asien;TRUE
Italy;82.4;2.311E+12;62246674;Europa;TRUE
Jamaica;74.5;26060000000;2812090;Nordamerika;FALSE
Japan;85.5;5.429E+12;126168156;Asien;FALSE
Jordan;75;89100000000;10458413;Asien;FALSE
Kazakhstan;71.4;4.776E+11;18744548;Asien;FALSE
Kenya;64.9;1.631E+11;48397527;Afrika;FALSE
Kiribati;66.9;226000000;109367;Ozeanien;FALSE
Kuwait;78.3;2.915E+11;2916467;Asien;FALSE
Kyrgyzstan;71.2;22970000000;5849296;Asien;FALSE
Laos;65;49210000000;7234171;Asien;FALSE
Latvia;74.9;53910000000;1923559;Europa;FALSE
Lebanon;77.9;87680000000;6100075;Asien;FALSE
Lesotho;53;6955000000;1962461;Afrika;FALSE
Liberia;63.8;6099000000;4809768;Afrika;FALSE
Libya;76.9;64400000000;6754507;Afrika;FALSE
Lithuania;75.2;91240000000;2793284;Europa;FALSE
Luxembourg;82.4;62730000000;605764;Europa;TRUE
Macau;84.6;71780000000;606340;Asien;TRUE
Macedonia;75.9;30960000000;2118945;Europa;FALSE
Madagascar;66.6;39730000000;25683610;Afrika;FALSE
Malawi;62.2;22370000000;19842560;Afrika;FALSE
Malaysia;75.4;9.308E+11;31809660;Asien;FALSE
Maldives;76;6887000000;392473;Asien;TRUE
Mali;60.8;41000000000;18429893;Afrika;FALSE
Malta;82.7;19310000000;449043;Europa;FALSE
Marshall Islands;73.6;189000000;75684;Ozeanien;FALSE
Mauritania;63.8;17250000000;3840429;Afrika;FALSE
Mauritius;76;27460000000;1364283;Afrika;TRUE
Mexico;76.3;2.458E+12;125959205;Nordamerika;TRUE
Micronesia;73.4;347000000;103643;Ozeanien;FALSE
Moldova;71.3;20080000000;3437720;Europa;FALSE
Mongolia;70.2;39700000000;3103428;Asien;FALSE
Morocco;77.3;2.986E+11;34314130;Afrika;TRUE
Mozambique;54.1;36730000000;27233789;Afrika;FALSE
Myanmar;68.6;3.287E+11;55622506;Asien;FALSE
Namibia;64.4;26510000000;2533224;Afrika;FALSE
Nauru;67.8;159000000;9692;Ozeanien;FALSE
Nepal;71.3;78590000000;29717587;Asien;FALSE
Netherlands;81.5;9.161E+11;17151228;Europa;TRUE
New Caledonia;78;11110000000;282754;Ozeanien;FALSE
New Zealand;81.4;1.886E+11;4545627;Ozeanien;TRUE
Nicaragua;73.7;36380000000;6085213;Nordamerika;FALSE
Niger;56.3;21840000000;19866231;Afrika;FALSE
Nigeria;59.3;1.119E+12;203452505;Afrika;FALSE
Norway;82;3.8E+11;5372191;Europa;TRUE
Oman;75.9;1.866E+11;3494116;Asien;FALSE
Pakistan;68.4;1.057E+12;207862518;Asien;FALSE
Palau;73.6;291000000;21516;Ozeanien;FALSE
Panama;78.9;1.039E+11;3800644;Nordamerika;FALSE
Papua New Guinea;67.5;30330000000;7027332;Ozeanien;FALSE
Paraguay;77.6;68330000000;7025763;Südamerika;FALSE
Peru;74.2;4.244E+11;31331228;Südamerika;TRUE
Philippines;69.6;8.756E+11;105893381;Asien;FALSE
Poland;77.9;1.121E+12;38420687;Europa;FALSE
Portugal;80.9;3.134E+11;10355493;Europa;TRUE
Puerto Rico;81;1.21E+11;3294626;Nordamerika;FALSE
Qatar;79;3.406E+11;2363569;Asien;FALSE
Romania;75.6;4.815E+11;21457116;Europa;TRUE
Russia;71.3;4.008E+12;142122776;Asien;TRUE
Rwanda;64.5;24630000000;12187400;Afrika;TRUE
Saint Kitts And Nevis;76.2;1528000000;53094;Nordamerika;FALSE
Saint Lucia;78.1;2536000000;165510;Nordamerika;FALSE
Saint Vincent And The Grenadines;75.8;1266000000;101844;Nordamerika;FALSE
Samoa;74.2;1134000000;201316;Ozeanien;FALSE
San Marino;83.4;2052000000;33779;Europa;FALSE
Sao Tome and Principe;65.7;676000000;204454;Afrika;FALSE
Saudi Arabia;75.7;1.774E+12;33091113;Asien;FALSE
Senegal;62.5;43240000000;15020945;Afrika;FALSE
Serbia;75.9;1.055E+11;7078110;Europa;TRUE
Seychelles;75.2;2718000000;94633;Afrika;TRUE
Sierra Leone;59;11500000000;6312212;Afrika;FALSE
Singapore;85.5;5.27E+11;5995991;Asien;TRUE
Slovakia;77.4;1.794E+11;5445040;Europa;FALSE
Slovenia;81.2;71080000000;2102126;Europa;FALSE
Solomon Islands;75.8;1324000000;660121;Ozeanien;FALSE
Somalia;53.2;18660000000;11259029;Afrika;FALSE
South Afrika;64.1;7.656E+11;55380210;Afrika;TRUE
South Korea;82.5;2.029E+12;51418097;Asien;FALSE
Spain;81.8;1.774E+12;49331076;Europa;TRUE
Sri Lanka;77.1;2.747E+11;22576592;Asien;TRUE
Sudan;65.8;1.87E+11;43120843;Afrika;FALSE
Suriname;72.8;8508000000;597927;Südamerika;FALSE
Sweden;82.2;5.209E+11;10040995;Europa;TRUE
Switzerland;82.7;5.172E+11;8292809;Europa;TRUE
Taiwan;80.4;1.185E+12;23545963;Asien;TRUE
Tajikistan;68.4;28380000000;8604882;Asien;FALSE
Tanzania;63.1;1.622E+11;55451343;Afrika;FALSE
Thailand;75.1;1.234E+12;68615858;Asien;TRUE
Timor-Leste;68.7;6753000000;1321929;Asien;FALSE
Togo;65.8;12940000000;8176449;Afrika;FALSE
Tonga;76.6;587000000;106398;Ozeanien;FALSE
Trinidad And Tobago;73.4;43010000000;1215527;Nordamerika;TRUE
Tunisia;75.9;1.354E+11;11516189;Afrika;TRUE
Turkey;75.3;2.173E+12;81257239;Asien;FALSE
Turkmenistan;70.7;1.035E+11;5411012;Asien;FALSE
Tuvalu;67.2;42000000;11147;Ozeanien;FALSE
Uganda;56.3;88670000000;40853749;Afrika;FALSE
Ukraine;72.4;3.688E+11;43952299;Europa;FALSE
United Arab Emirates;78.7;6.868E+11;9701315;Asien;FALSE
United Kingdom;80.9;2.914E+12;65105246;Europa;TRUE
United States;80.1;1.939E+13;329256465;Nordamerika;FALSE
Uruguay;77.6;78150000000;3369299;Südamerika;FALSE
Uzbekistan;74.3;2.226E+11;30023709;Asien;FALSE
Vanuatu;74;770000000;288037;Ozeanien;FALSE
Venezuela;76.2;3.807E+11;31689176;Südamerika;FALSE
Vietnam;73.9;6.474E+11;97040334;Asien;FALSE
Yemen;66.2;38600000000;28667230;Asien;FALSE
Zambia;53;68890000000;16445079;Afrika;FALSE
Zimbabwe;61.1;33960000000;14030368;Afrika;FALSE
